,date,TICKER,PRC,RET,SHROUT
2974,27/10/2008,AAPL,92.09,-0.044511,888935.0
2975,28/10/2008,AAPL,99.91,0.084917,888935.0
2976,29/10/2008,AAPL,104.55,0.046442,888935.0
2977,30/10/2008,AAPL,111.04,0.062076,888935.0
2978,31/10/2008,AAPL,107.59,-0.031070,888935.0
2979,03/11/2008,AAPL,106.96,-0.005856,888935.0
2980,04/11/2008,AAPL,110.99,0.037678,888935.0
2981,05/11/2008,AAPL,103.3,-0.069285,888935.0
2982,06/11/2008,AAPL,99.1,-0.040658,888935.0
2983,07/11/2008,AAPL,98.24,-0.008678,888935.0
2984,10/11/2008,AAPL,95.88,-0.024023,888935.0
2985,11/11/2008,AAPL,94.77,-0.011577,888935.0
2986,12/11/2008,AAPL,90.12,-0.049066,888935.0
2987,13/11/2008,AAPL,96.44,0.070129,888935.0
2988,14/11/2008,AAPL,90.24,-0.064289,888935.0
2989,17/11/2008,AAPL,88.14,-0.023271,888935.0
2990,18/11/2008,AAPL,89.91,0.020082,888935.0
2991,19/11/2008,AAPL,86.29,-0.040263,888935.0
2992,20/11/2008,AAPL,80.49,-0.067215,888935.0
2993,21/11/2008,AAPL,82.58,0.025966,888935.0
2994,24/11/2008,AAPL,92.95,0.125575,888935.0
2995,25/11/2008,AAPL,90.8,-0.023131,888935.0
2996,26/11/2008,AAPL,95.0,0.046255,888935.0
2997,28/11/2008,AAPL,92.67,-0.024526,888935.0
2998,01/12/2008,AAPL,88.93,-0.040358,888935.0
2999,02/12/2008,AAPL,92.47,0.039807,888935.0
3000,03/12/2008,AAPL,95.9,0.037093,888935.0
3001,04/12/2008,AAPL,91.41,-0.046820,888935.0
3002,05/12/2008,AAPL,94.0,0.028334,888935.0
3003,08/12/2008,AAPL,99.72,0.060851,888935.0
3004,09/12/2008,AAPL,100.06,0.003410,888935.0
3005,10/12/2008,AAPL,98.21,-0.018489,889485.0
3006,11/12/2008,AAPL,95.0,-0.032685,889485.0
3007,12/12/2008,AAPL,98.27,0.034421,889485.0
